Title,Singer,Time,Day,Mood,Traffic Suitability,Weather Suitability
"thank u, next",Ariana Grande,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
My Type,Saweetie,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
you should see me in a crown,billie eilish,evening song,weekend song,Neutral,Suitable for traffic,Warm and Sunny song
Tap (feat. Meek Mill),Nav,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
i'm so tired...,lauv,evening song,weekday song,Sad,Suitable for traffic,Warm and Sunny song
Wish You Were Gay,Billie Eilish,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
The Archer,Taylor Swift,evening song,weekday song,Very Happy,Not suitable for traffic,No specific suitability
Fake Smile,Ariana Grande,evening song,weekend song,Very Sad,Not suitable for traffic,Warm and Sunny song
Ready,Alessia Cara,evening song,weekday song,Neutral,Not suitable for traffic,Warm and Sunny song
Big Rocks (Offset feat. Young Thug),Quality Control,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Blame,bryson tiller,evening song,weekend song,Very Sad,Not suitable for traffic,Cold and Windy song
Rollercoaster,Jonas Brothers,afternoon song,weekday song,Very Happy,Suitable for traffic,Warm and Sunny song
Trust Issues,Drake,evening song,weekend song,Sad,Not suitable for traffic,No specific suitability
Walk Me Home,p!nk,evening song,weekend song,Neutral,Not suitable for traffic,Warm and Sunny song
Way to Break My Heart (feat. Skrillex),Ed Sheeran,evening song,weekday song,Sad,Suitable for traffic,Rainy and Overcast song
Middle Child,PnB Rock,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
Doin' Time,Lana Del Rey,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Simple,Florida Georgia Line,afternoon song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
How Bout Now,Drake,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
I Believe,Jonas Brothers,afternoon song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Sixteen,Ellie Goulding,evening song,weekday song,Very Happy,Suitable for traffic,Rainy and Overcast song
no one compares to you,jack & jack,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
Feels Like a Party,Locash,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
Some Nights,George Strait,evening song,weekday song,Neutral,Not suitable for traffic,Warm and Sunny song
Trying Like the Devil,Aaron Watson,evening song,weekday song,Sad,Not suitable for traffic,Rainy and Overcast song
Damn Strait,Granger Smith,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Cheatin' Songs,Midland,evening song,weekend song,Neutral,Not suitable for traffic,Warm and Sunny song
Family Tree,Caylee Hammack,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
Put Me In My Place,Muscadine Bloodline,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Señorita,Jake Owen,evening song,weekend song,Neutral,Suitable for traffic,Warm and Sunny song
Life After Your Leavin',Ray Fulcher,evening song,weekend song,Very Sad,Not suitable for traffic,Any weather
Lost in the Night,Midland,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Every Song’s a Drinkin’ Song,Midland,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
same asshole,jelly roll,evening song,weekend song,Very Sad,Not suitable for traffic,Rainy and Overcast song
Ask Me How I Know,Mitch Rossell,evening song,weekday song,Very Sad,Not suitable for traffic,Warm and Sunny song
Better Than Me,Tucker Beathard,evening song,weekend song,Sad,Not suitable for traffic,Warm and Sunny song
The Ballad of the Lonesome Cowboy,Chris Stapleton,evening song,weekday song,Sad,Not suitable for traffic,Rainy and Overcast song
Bury My Bones,Whiskey Myers,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
American Bad Dream,Kane Brown,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
Black and White,Christie Huff,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Small Town Talkin',Jordan Rager,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
Solo,Adam Doleac,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
Just the South Comin' Out,Tracy Lawrence,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Chicken Wire,Tracy Lawrence,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Running Out of People to Blame,Tracy Lawrence,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Made in America,Tracy Lawrence,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Drinkin',Cold Creek County,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Hey Hey Hey,Uncle Kracker,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Don't Threaten Me With a Good Time,Thomas Rhett,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Psycho,Danielle Bradbery,evening song,weekend song,Very Happy,Not suitable for traffic,Warm and Sunny song
The Dead Don't Die,Sturgill Simpson,evening song,weekday song,Neutral,Suitable for traffic,Cold and Windy song
Ghett Ol Memories,Blanco Brown,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
"All You, All Night, All Summer",Adam Hambrick,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Take Me Away,George Strait,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
good and gone,seaforth,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
A World Without Haggard,Vince Gill,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
Two More Wishes,George Strait,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
Puddle of love,Mason Ramsey,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
Lets Make A Love Song,Casey Donahew,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
i'm not him,sam grow,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
I'm Not Leaving,Uncle Kracker,evening song,weekend song,Happy,Suitable for traffic,Cold and Windy song
Further Down the Road,Uncle Kracker,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
This Time,Uncle Kracker,afternoon song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Rescue,Uncle Kracker,late night song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
"Songs About Me, Songs About You",Uncle Kracker,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
intro,uncle kracker,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
Nothin' On You,Cody Johnson,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
My Heart Is A Bar,Old Dominion,evening song,weekday song,Sad,Not suitable for traffic,Warm and Sunny song
i wish grandpas never died,Riley Green,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
Try Saying Goodbye,John King,evening song,weekday song,Happy,Not suitable for traffic,No specific suitability
Welcome to Hazeville,Brantley Gilbert,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Almost,Thomas Rhett,evening song,weekend song,Sad,Suitable for traffic,Any weather
Kick It,Lil Nas X,evening song,weekday song,Very Happy,Suitable for traffic,Warm and Sunny song
Beer Never Broke My Heart,Luke Combs,evening song,weekday song,Very Sad,Suitable for traffic,No specific suitability
The Bones,Maren Morris,evening song,weekday song,Sad,Not suitable for traffic,Rainy and Overcast song
Clean Money,Adam Calhoun,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
Refrigerator Door,Luke Combs,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Made For You,Jake Owen,morning song,weekday song,Neutral,Not suitable for traffic,Warm and Sunny song
Remember You Young,Thomas Rhett,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Heartache Medication,Jon Pardi,evening song,weekday song,Very Happy,Suitable for traffic,Warm and Sunny song
I Was Jack (You Were Diane),Jake Owen,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
waitin' on 5,chris janson,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
Ten Feet Away,Dylan Scott,evening song,weekend song,Sad,Not suitable for traffic,Cold and Windy song
Our Hearts (feat. Lucie Silvas),Randy Houser,evening song,weekday song,Very Sad,Suitable for traffic,No specific suitability
One At A Time,jackson michelson,evening song,weekday song,Happy,Suitable for traffic,Any weather
Live Forever,Kane Brown,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
In Love By Now,Riley Green,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Still,Hunter Hayes,evening song,weekday song,Neutral,Suitable for traffic,Cold and Windy song
Red Dirt Road (With Cody Johnson),Brooks & Dunn,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Why We Drink,Justin Moore,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
Drink I Think,John Gurney,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
Livin Easy,Filmore,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Holler,Granger Smith,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Puzzle of Us,Adam Doleac,evening song,weekday song,Sad,Not suitable for traffic,Warm and Sunny song
tomorrow,kongos,evening song,weekday song,Very Sad,Suitable for traffic,No specific suitability
Jack White on 'Sunday Driver',Jack White,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
Sweet Georgia Brown,The Coasters,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
The Wire,Shovels & Rope,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
One Night at a Time,Little Hurricane,evening song,weekday song,Very Happy,Suitable for traffic,Warm and Sunny song
Fire,The Heavy,evening song,weekday song,Sad,Not suitable for traffic,No specific suitability
Look Away,Rival Sons,evening song,weekday song,Very Sad,Not suitable for traffic,Any weather
I'm comin' out,Shovels & Rope,evening song,weekday song,Happy,Suitable for traffic,Any weather
Let's Get Down Like We Used To,Delbert McClinton,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
heartworm,thee oh sees,evening song,weekend song,Neutral,Not suitable for traffic,Warm and Sunny song
Keeper,Reignwolf,evening song,weekday song,Neutral,Suitable for traffic,No specific suitability
Taste,Ty Segall,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Have Mercy,Robert Randolph & The Family Band,evening song,weekend song,Sad,Not suitable for traffic,Warm and Sunny song
the arms,ty segall,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Devils Got You Beat,Blues Saraceno,evening song,weekday song,Very Happy,Suitable for traffic,Any weather
If I Hock My Guitar (feat. Self-Made Men),Delbert McClinton,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
Radio,Ty Segall,evening song,weekend song,Neutral,Suitable for traffic,Warm and Sunny song
Keep On,Southern Avenue,evening song,weekday song,Very Sad,Suitable for traffic,Cold and Windy song
Oklahoma,Keb' Mo',evening song,weekend song,Happy,Suitable for traffic,No specific suitability
I Worship the Dog,Ty Segall,evening song,weekday song,Very Happy,Not suitable for traffic,Any weather
stay around,j.j. cale,evening song,weekend song,Neutral,Suitable for traffic,Warm and Sunny song
Chasing You,j.j. cale,evening song,weekday song,Neutral,Suitable for traffic,Warm and Sunny song
Won't Let Go,Jamie N Commons,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
Something New,Kongos,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
On to the Next,Tyler Bryant & The Shakedown,evening song,weekday song,Neutral,Suitable for traffic,Cold and Windy song
Horns Arising,Black Mountain,evening song,weekend song,Neutral,Not suitable for traffic,Warm and Sunny song
shanalala,white denim,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
Imperial Joy,Rival Sons,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Long Time Running,Kenny Wayne Shepherd,evening song,weekday song,Happy,Not suitable for traffic,Warm and Sunny song
Ain’t Got No Money,Justin Townes Earle,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Poisoned Stones,Thee Oh Sees,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
High Voltage / It's a Long Way to the Top (If You Wanna Rock 'n' Roll),Eagles of Death Metal,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
"Hold On, I'm Comin'",Anderson East,evening song,weekend song,Happy,Not suitable for traffic,Warm and Sunny song
In Here,The Magpie Salute,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Hard Case,Tedeschi Trucks Band,evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Learn to Let Go,welshly arms,evening song,weekday song,Neutral,Not suitable for traffic,Cold and Windy song
Over & Over,Reignwolf,evening song,weekend song,Very Happy,Suitable for traffic,Warm and Sunny song
What I'm Becoming,Cage the Elephant,evening song,weekend song,Very Sad,Not suitable for traffic,Cold and Windy song
The War is Over,Cage the Elephant,evening song,weekday song,Sad,Not suitable for traffic,Warm and Sunny song
Don't Bother Me,The Raconteurs,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
dead ringer,des rocs,evening song,weekday song,Sad,Not suitable for traffic,Rainy and Overcast song
Black and Red,Reignwolf,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
outta my mind,des rocs,evening song,weekday song,Sad,Suitable for traffic,Cold and Windy song
Gotta Get Into Something,Gary Clark Jr.,evening song,weekend song,Happy,Suitable for traffic,Warm and Sunny song
what's yours is mine,the raconteurs,evening song,weekday song,Happy,Suitable for traffic,Cold and Windy song
The River,Blues Saraceno,late night song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
this is my home,keb' mo',evening song,weekday song,Happy,Suitable for traffic,Warm and Sunny song
Pearl Cadillac,Gary Clark Jr.,evening song,weekday song,Sad,Not suitable for traffic,Cold and Windy song
Skin and Bones,Cage The Elephant,evening song,weekday song,Very Sad,Not suitable for traffic,Cold and Windy song
